iter	RMSE
333	4.516819177
334	4.51320612
335	4.511487202
336	4.50803435
337	4.501889398
338	4.497593114
339	4.494463943
340	4.490814646
341	4.489793649
342	4.485972427
343	4.48214325
344	4.479630621
345	4.478290251
346	4.476695419
347	4.471145748
348	4.467904718
349	4.463759204
350	4.459990104
351	4.456099688
352	4.45400725
353	4.452419974
354	4.448106015
355	4.445591934
356	4.442877538
357	4.441496526
358	4.438117443
359	4.434889112
360	4.432226036
361	4.429043733
362	4.427405192
363	4.423903706
364	4.421703765
365	4.416522891
366	4.412798755
367	4.40741042
368	4.406483539
369	4.40141096
370	4.397399555
371	4.393967064
372	4.390771524
373	4.38743729
374	4.384976035
375	4.383271533
376	4.381486562
377	4.37764836
378	4.372794354
379	4.370969102
380	4.367499416
381	4.365729194
382	4.363207543
383	4.361419247
384	4.357544519
385	4.356546414
386	4.353915899
387	4.349022998
388	4.345151
389	4.343287512
390	4.340316137
391	4.33798469
392	4.335279526
393	4.331667861
394	4.327718183
395	4.325618697
396	4.322192692
397	4.317185662
398	4.314042326
399	4.311919288
400	4.30865893
401	4.304542756
402	4.301469906
403	4.298532989
404	4.296458854
405	4.295192324
406	4.293648221
407	4.290799686
408	4.288788579
409	4.286075571
410	4.283145271
411	4.281938816
412	4.279077983
413	4.273339447
414	4.27207562
415	4.272075489
416	4.267218981
417	4.26519628
418	4.26371738
419	4.261240146
420	4.259839198
421	4.256533877
422	4.254932789
423	4.251916888
424	4.249387839
425	4.246093566
426	4.243638373
427	4.242283242
428	4.241590864
429	4.240049751
430	4.238745768
431	4.237416003
432	4.234251108
433	4.229912272
434	4.228725264
435	4.224387286
436	4.221331758
437	4.218088437
438	4.215691077
439	4.212005859
440	4.210482199
441	4.207848554
442	4.205424119
443	4.203210556
444	4.198694632
445	4.197550257
446	4.196722152
447	4.193579947
448	4.190334199
449	4.186869783
450	4.181700759
451	4.181660634
452	4.179270753
453	4.173993236
454	4.171106722
455	4.167750896
456	4.163811324
457	4.161680699
458	4.157430917
459	4.154907539
460	4.151772182
461	4.149255173
462	4.147176309
463	4.143387778
464	4.141654651
465	4.140009428
466	4.137204819
467	4.135490306
468	4.134249152
469	4.132205052
470	4.129764363
471	4.127076169
472	4.126107609
473	4.122260865
474	4.119439716
475	4.117023071
476	4.114113947
477	4.111263417
478	4.108361668
479	4.106755231
480	4.105383407
481	4.101250192
482	4.099748099
483	4.098439023
484	4.095220079
485	4.091613524
486	4.090252244
487	4.087852091
488	4.087304911
489	4.083565705
490	4.081073444
491	4.079073667
492	4.077115922
493	4.074495828
494	4.071562843
495	4.069218381
496	4.065749518
497	4.063419436
498	4.060993059
499	4.058257026
